date,region,issuer,merchant_category,device_segment,attempts,successful_transactions,failed_transactions,gmv_cny,is_anomaly_window,is_synthetic
2025-01-01,East China,Issuer D,Retail,Older phone,40,38,2,723.64,0,1
2025-01-01,East China,Issuer D,Retail,Watch,44,41,3,686.86,0,1
2025-01-01,East China,Issuer D,Dining,Recent phone,73,70,3,1815.59,0,1
2025-01-01,East China,Issuer D,Dining,Older phone,55,51,4,1294.21,0,1
2025-01-01,East China,Issuer D,Dining,Watch,39,36,3,929.39,0,1
2025-01-01,East China,Issuer D,Transit,Recent phone,55,53,2,1643.41,0,1
2025-01-01,East China,Issuer D,Transit,Older phone,57,54,3,1820.09,0,1
2025-01-01,East China,Issuer D,Transit,Watch,48,46,2,1534.63,0,1
2025-01-01,East China,Issuer D,Grocery,Recent phone,65,63,2,2339.93,0,1
2025-01-01,East China,Issuer D,Grocery,Older phone,57,56,1,2245.89,0,1
2025-01-01,East China,Issuer D,Grocery,Watch,53,49,4,1940.61,0,1
2025-01-01,East China,Issuer D,Digital,Recent phone,69,67,2,3085.69,0,1
2025-01-01,East China,Issuer D,Digital,Older phone,59,57,2,2585.65,0,1
2025-01-01,East China,Issuer D,Digital,Watch,60,55,5,2476.83,0,1
2025-01-01,North China,Issuer A,Retail,Recent phone,61,59,2,1125.54,0,1
2025-01-01,North China,Issuer A,Retail,Older phone,56,55,1,1115.37,0,1
2025-01-01,North China,Issuer A,Retail,Watch,41,38,3,804.96,0,1
2025-01-01,North China,Issuer A,Dining,Recent phone,63,60,3,1733.44,0,1
2025-01-01,North China,Issuer A,Dining,Older phone,58,57,1,1505.34,0,1
2025-01-01,North China,Issuer A,Dining,Watch,61,58,3,1655.55,0,1
2025-01-01,North China,Issuer A,Transit,Recent phone,78,74,4,2523.55,0,1
2025-01-01,North China,Issuer A,Transit,Older phone,66,66,0,2149.78,0,1
2025-01-01,North China,Issuer A,Transit,Watch,50,48,2,1605.99,0,1
2025-01-01,North China,Issuer A,Grocery,Recent phone,72,68,4,2850.92,0,1
2025-01-01,North China,Issuer A,Grocery,Older phone,61,59,2,2420.54,0,1
2025-01-01,North China,Issuer A,Grocery,Watch,64,60,4,2565.99,0,1
2025-01-01,North China,Issuer A,Digital,Recent phone,79,74,5,3491.33,0,1
2025-01-01,North China,Issuer A,Digital,Older phone,79,77,2,3791.43,0,1
2025-01-01,North China,Issuer A,Digital,Watch,60,58,2,2750.26,0,1
2025-01-01,North China,Issuer B,Retail,Recent phone,58,57,1,1253.5,0,1
2025-01-01,North China,Issuer B,Retail,Older phone,52,49,3,999.88,0,1
2025-01-01,North China,Issuer B,Retail,Watch,50,49,1,993.72,0,1
2025-01-01,North China,Issuer B,Dining,Recent phone,63,61,2,1552.88,0,1
2025-01-01,North China,Issuer B,Dining,Older phone,60,58,2,1490.06,0,1
2025-01-01,North China,Issuer B,Dining,Watch,37,34,3,873.91,0,1
2025-01-01,North China,Issuer B,Transit,Recent phone,73,71,2,2456.19,0,1
2025-01-01,North China,Issuer B,Transit,Older phone,59,56,3,1943.29,0,1
2025-01-01,North China,Issuer B,Transit,Watch,60,58,2,2049.58,0,1
2025-01-01,North China,Issuer B,Grocery,Recent phone,77,77,0,3255.05,0,1
2025-01-01,North China,Issuer B,Grocery,Older phone,67,63,4,2686.54,0,1
2025-01-01,North China,Issuer B,Grocery,Watch,52,50,2,2078.01,0,1
2025-01-01,North China,Issuer B,Digital,Recent phone,77,75,2,3684.57,0,1
2025-01-01,North China,Issuer B,Digital,Older phone,73,69,4,3221.39,0,1
2025-01-01,North China,Issuer B,Digital,Watch,58,55,3,2535.11,0,1
2025-01-01,North China,Issuer C,Retail,Recent phone,56,54,2,1063.01,0,1
2025-01-01,North China,Issuer C,Retail,Older phone,56,55,1,1001.22,0,1
2025-01-01,North China,Issuer C,Retail,Watch,51,50,1,1022.12,0,1
2025-01-01,North China,Issuer C,Dining,Recent phone,65,62,3,1598.42,0,1
2025-01-01,North China,Issuer C,Dining,Older phone,62,60,2,1734.43,0,1
2025-01-01,North China,Issuer C,Dining,Watch,47,45,2,1261.83,0,1
2025-01-01,North China,Issuer C,Transit,Recent phone,63,60,3,1948.34,0,1
2025-01-01,North China,Issuer C,Transit,Older phone,53,52,1,1759.67,0,1
2025-01-01,North China,Issuer C,Transit,Watch,53,52,1,1739.08,0,1
2025-01-01,North China,Issuer C,Grocery,Recent phone,68,65,3,2626.49,0,1
2025-01-01,North China,Issuer C,Grocery,Older phone,65,63,2,2639.44,0,1
2025-01-01,North China,Issuer C,Grocery,Watch,68,66,2,2577.52,0,1
2025-01-01,North China,Issuer C,Digital,Recent phone,79,75,4,3565.33,0,1
2025-01-01,North China,Issuer C,Digital,Older phone,74,70,4,3478.7,0,1
2025-01-01,North China,Issuer C,Digital,Watch,70,65,5,3149.41,0,1
2025-01-01,North China,Issuer D,Retail,Recent phone,67,64,3,1225.24,0,1
2025-01-01,North China,Issuer D,Retail,Older phone,53,51,2,1027.76,0,1
2025-01-01,North China,Issuer D,Retail,Watch,46,44,2,824.96,0,1
2025-01-01,North China,Issuer D,Dining,Recent phone,65,63,2,1819.97,0,1
2025-01-01,North China,Issuer D,Dining,Older phone,55,53,2,1333.83,0,1
2025-01-01,North China,Issuer D,Dining,Watch,52,49,3,1372.26,0,1
2025-01-01,North China,Issuer D,Transit,Recent phone,67,65,2,2199.57,0,1
2025-01-01,North China,Issuer D,Transit,Older phone,54,52,2,1787.95,0,1
2025-01-01,North China,Issuer D,Transit,Watch,66,62,4,2027.39,0,1
2025-01-01,North China,Issuer D,Grocery,Recent phone,74,69,5,2834.59,0,1
2025-01-01,North China,Issuer D,Grocery,Older phone,69,67,2,2685.75,0,1
2025-01-01,North China,Issuer D,Grocery,Watch,64,60,4,2419.38,0,1
2025-01-01,North China,Issuer D,Digital,Recent phone,71,68,3,3394.65,0,1
2025-01-01,North China,Issuer D,Digital,Older phone,72,70,2,3275.85,0,1
2025-01-01,North China,Issuer D,Digital,Watch,61,57,4,2689.27,0,1
2025-01-01,South China,Issuer A,Retail,Recent phone,82,78,4,1669.89,0,1
2025-01-01,South China,Issuer A,Retail,Older phone,56,54,2,1166.39,0,1
2025-01-01,South China,Issuer A,Retail,Watch,52,50,2,1084.83,0,1
2025-01-01,South China,Issuer A,Dining,Recent phone,71,69,2,2059.79,0,1
2025-01-01,South China,Issuer A,Dining,Older phone,72,70,2,1898.43,0,1
2025-01-01,South China,Issuer A,Dining,Watch,58,56,2,1523.91,0,1
2025-01-01,South China,Issuer A,Transit,Recent phone,78,75,3,2557.82,0,1
2025-01-01,South China,Issuer A,Transit,Older phone,73,70,3,2478.43,0,1
2025-01-01,South China,Issuer A,Transit,Watch,63,58,5,2115.42,0,1
2025-01-01,South China,Issuer A,Grocery,Recent phone,82,81,1,3574.14,0,1
2025-01-01,South China,Issuer A,Grocery,Older phone,82,80,2,3503.47,0,1
2025-01-01,South China,Issuer A,Grocery,Watch,74,70,4,3008.57,0,1
2025-01-01,South China,Issuer A,Digital,Recent phone,91,86,5,4146.07,0,1
2025-01-01,South China,Issuer A,Digital,Older phone,80,75,5,3762.42,0,1
2025-01-01,South China,Issuer A,Digital,Watch,73,67,6,3416.89,0,1
2025-01-01,South China,Issuer B,Retail,Recent phone,69,65,4,1307.49,0,1
2025-01-01,South China,Issuer B,Retail,Older phone,54,52,2,1090.41,0,1
2025-01-01,South China,Issuer B,Retail,Watch,52,51,1,1069.23,0,1
2025-01-01,South China,Issuer B,Dining,Recent phone,74,72,2,1995.3,0,1
2025-01-01,South China,Issuer B,Dining,Older phone,63,59,4,1791.12,0,1
2025-01-01,South China,Issuer B,Dining,Watch,55,51,4,1421.25,0,1
2025-01-01,South China,Issuer B,Transit,Recent phone,80,76,4,2840.65,0,1
2025-01-01,South China,Issuer B,Transit,Older phone,68,66,2,2304.13,0,1
2025-01-01,South China,Issuer B,Transit,Watch,60,57,3,2083.16,0,1
2025-01-01,South China,Issuer B,Grocery,Recent phone,88,83,5,3452.35,0,1
2025-01-01,South China,Issuer B,Grocery,Older phone,76,72,4,3015.35,0,1
2025-01-01,South China,Issuer B,Grocery,Watch,64,61,3,2693.9,0,1
2025-01-01,South China,Issuer B,Digital,Recent phone,86,82,4,4078.46,0,1
2025-01-01,South China,Issuer B,Digital,Older phone,87,84,3,4045.98,0,1
2025-01-01,South China,Issuer B,Digital,Watch,73,69,4,3503.22,0,1
2025-01-01,South China,Issuer C,Retail,Recent phone,60,57,3,1239.94,0,1
2025-01-01,South China,Issuer C,Retail,Older phone,57,53,4,1169.24,0,1
2025-01-01,South China,Issuer C,Retail,Watch,47,45,2,1025.75,0,1
2025-01-01,South China,Issuer C,Dining,Recent phone,74,72,2,2061.74,0,1
2025-01-01,South China,Issuer C,Dining,Older phone,61,57,4,1685.13,0,1
2025-01-01,South China,Issuer C,Dining,Watch,60,58,2,1581.85,0,1
2025-01-01,South China,Issuer C,Transit,Recent phone,69,64,5,2280.1,0,1
2025-01-01,South China,Issuer C,Transit,Older phone,80,79,1,2786.11,0,1
2025-01-01,South China,Issuer C,Transit,Watch,55,54,1,1990.75,0,1
2025-01-01,South China,Issuer C,Grocery,Recent phone,80,77,3,3429.44,0,1
2025-01-01,South China,Issuer C,Grocery,Older phone,76,72,4,3099.69,0,1
2025-01-01,South China,Issuer C,Grocery,Watch,64,62,2,2581.31,0,1
2025-01-01,South China,Issuer C,Digital,Recent phone,89,85,4,4356.77,0,1
2025-01-01,South China,Issuer C,Digital,Older phone,84,80,4,3847.18,0,1
2025-01-01,South China,Issuer C,Digital,Watch,72,69,3,3468.13,0,1
2025-01-01,South China,Issuer D,Retail,Recent phone,54,52,2,1060.08,0,1
2025-01-01,South China,Issuer D,Retail,Older phone,64,62,2,1460.19,0,1
2025-01-01,South China,Issuer D,Retail,Watch,45,41,4,825.2,0,1
2025-01-01,South China,Issuer D,Dining,Recent phone,79,77,2,2175.37,0,1
2025-01-01,South China,Issuer D,Dining,Older phone,62,60,2,1707.16,0,1
2025-01-01,South China,Issuer D,Dining,Watch,59,55,4,1674.11,0,1
2025-01-01,South China,Issuer D,Transit,Recent phone,73,71,2,2572.08,0,1
2025-01-01,South China,Issuer D,Transit,Older phone,67,64,3,2178.0,0,1
2025-01-01,South China,Issuer D,Transit,Watch,64,60,4,2152.36,0,1
2025-01-01,South China,Issuer D,Grocery,Recent phone,87,83,4,3553.99,0,1
2025-01-01,South China,Issuer D,Grocery,Older phone,74,72,2,3224.48,0,1
2025-01-01,South China,Issuer D,Grocery,Watch,68,64,4,2688.25,0,1
2025-01-01,South China,Issuer D,Digital,Recent phone,78,76,2,3940.24,0,1
2025-01-01,South China,Issuer D,Digital,Older phone,74,68,6,3460.43,0,1
2025-01-01,South China,Issuer D,Digital,Watch,76,71,5,3415.29,0,1
2025-01-01,West China,Issuer A,Retail,Recent phone,75,72,3,1825.68,0,1
2025-01-01,West China,Issuer A,Retail,Older phone,75,72,3,1831.18,0,1
2025-01-01,West China,Issuer A,Retail,Watch,73,67,6,1557.87,0,1
2025-01-01,West China,Issuer A,Dining,Recent phone,78,77,1,2407.65,0,1
2025-01-01,West China,Issuer A,Dining,Older phone,70,67,3,2096.77,0,1
2025-01-01,West China,Issuer A,Dining,Watch,63,59,4,1932.42,0,1
2025-01-01,West China,Issuer A,Transit,Recent phone,83,78,5,2822.54,0,1
2025-01-01,West China,Issuer A,Transit,Older phone,70,68,2,2460.58,0,1
2025-01-01,West China,Issuer A,Transit,Watch,75,72,3,2610.43,0,1
2025-01-01,West China,Issuer A,Grocery,Recent phone,84,80,4,3575.16,0,1
2025-01-01,West China,Issuer A,Grocery,Older phone,85,80,5,3509.77,0,1
2025-01-01,West China,Issuer A,Grocery,Watch,79,74,5,3399.02,0,1
2025-01-01,West China,Issuer A,Digital,Recent phone,94,91,3,4853.83,0,1
2025-01-01,West China,Issuer A,Digital,Older phone,82,79,3,4156.67,0,1
2025-01-01,West China,Issuer A,Digital,Watch,87,82,5,4106.45,0,1
2025-01-01,West China,Issuer B,Retail,Recent phone,77,75,2,1764.45,0,1
2025-01-01,West China,Issuer B,Retail,Older phone,78,75,3,1893.85,0,1
2025-01-01,West China,Issuer B,Retail,Watch,64,60,4,1420.2,0,1
2025-01-01,West China,Issuer B,Dining,Recent phone,82,81,1,2510.95,0,1
2025-01-01,West China,Issuer B,Dining,Older phone,76,72,4,2248.16,0,1
2025-01-01,West China,Issuer B,Dining,Watch,66,63,3,1984.97,0,1
2025-01-01,West China,Issuer B,Transit,Recent phone,79,75,4,2858.45,0,1
2025-01-01,West China,Issuer B,Transit,Older phone,78,73,5,2696.63,0,1
2025-01-01,West China,Issuer B,Transit,Watch,77,73,4,2854.22,0,1
2025-01-01,West China,Issuer B,Grocery,Recent phone,96,93,3,4217.47,0,1
2025-01-01,West China,Issuer B,Grocery,Older phone,83,78,5,3603.2,0,1
2025-01-01,West China,Issuer B,Grocery,Watch,68,65,3,2797.72,0,1
2025-01-01,West China,Issuer B,Digital,Recent phone,94,90,4,4672.79,0,1
2025-01-01,West China,Issuer B,Digital,Older phone,93,88,5,4727.28,0,1
2025-01-01,West China,Issuer B,Digital,Watch,79,73,6,3714.77,0,1
2025-01-01,West China,Issuer C,Retail,Recent phone,71,68,3,1536.74,0,1
2025-01-01,West China,Issuer C,Retail,Older phone,66,62,4,1570.78,0,1
2025-01-01,West China,Issuer C,Retail,Watch,61,59,2,1309.77,0,1
2025-01-01,West China,Issuer C,Dining,Recent phone,82,79,3,2511.47,0,1
2025-01-01,West China,Issuer C,Dining,Older phone,77,74,3,2319.45,0,1
2025-01-01,West China,Issuer C,Dining,Watch,61,55,6,1617.25,0,1
2025-01-01,West China,Issuer C,Transit,Recent phone,84,81,3,3050.38,0,1
2025-01-01,West China,Issuer C,Transit,Older phone,82,77,5,2913.58,0,1
2025-01-01,West China,Issuer C,Transit,Watch,79,74,5,2895.03,0,1
2025-01-01,West China,Issuer C,Grocery,Recent phone,84,80,4,3613.89,0,1
2025-01-01,West China,Issuer C,Grocery,Older phone,95,91,4,3925.08,0,1
2025-01-01,West China,Issuer C,Grocery,Watch,79,74,5,3407.06,0,1
2025-01-01,West China,Issuer C,Digital,Recent phone,97,93,4,4742.17,0,1
2025-01-01,West China,Issuer C,Digital,Older phone,85,79,6,4226.59,0,1
2025-01-01,West China,Issuer C,Digital,Watch,83,78,5,3910.42,0,1
2025-01-01,West China,Issuer D,Retail,Recent phone,71,67,4,1490.4,0,1
2025-01-01,West China,Issuer D,Retail,Older phone,66,62,4,1485.01,0,1
2025-01-01,West China,Issuer D,Retail,Watch,62,56,6,1380.55,0,1
2025-01-01,West China,Issuer D,Dining,Recent phone,79,74,5,2308.09,0,1
2025-01-01,West China,Issuer D,Dining,Older phone,73,69,4,2105.4,0,1
2025-01-01,West China,Issuer D,Dining,Watch,67,63,4,1981.9,0,1
2025-01-01,West China,Issuer D,Transit,Recent phone,79,76,3,2756.98,0,1
2025-01-01,West China,Issuer D,Transit,Older phone,77,73,4,2672.39,0,1
2025-01-01,West China,Issuer D,Transit,Watch,63,60,3,2265.12,0,1
2025-01-01,West China,Issuer D,Grocery,Recent phone,94,89,5,4151.67,0,1
2025-01-01,West China,Issuer D,Grocery,Older phone,91,88,3,3810.72,0,1
2025-01-01,West China,Issuer D,Grocery,Watch,80,76,4,3539.94,0,1
2025-01-01,West China,Issuer D,Digital,Recent phone,90,86,4,4455.01,0,1
2025-01-01,West China,Issuer D,Digital,Older phone,90,85,5,4513.94,0,1
2025-01-01,West China,Issuer D,Digital,Watch,82,78,4,4130.27,0,1
2025-01-02,East China,Issuer A,Retail,Recent phone,54,53,1,1021.43,0,1
2025-01-02,East China,Issuer A,Retail,Older phone,41,40,1,646.04,0,1
2025-01-02,East China,Issuer A,Retail,Watch,47,47,0,784.42,0,1
2025-01-02,East China,Issuer A,Dining,Recent phone,52,51,1,1300.77,0,1
2025-01-02,East China,Issuer A,Dining,Older phone,58,55,3,1330.91,0,1
2025-01-02,East China,Issuer A,Dining,Watch,43,40,3,929.42,0,1
2025-01-02,East China,Issuer A,Transit,Recent phone,64,61,3,1979.76,0,1
2025-01-02,East China,Issuer A,Transit,Older phone,62,60,2,1941.61,0,1
2025-01-02,East China,Issuer A,Transit,Watch,46,43,3,1341.1,0,1
2025-01-02,East China,Issuer A,Grocery,Recent phone,66,61,5,2294.54,0,1
2025-01-02,East China,Issuer A,Grocery,Older phone,55,51,4,1981.97,0,1
2025-01-02,East China,Issuer A,Grocery,Watch,56,52,4,1996.02,0,1
2025-01-02,East China,Issuer A,Digital,Recent phone,71,69,2,3091.54,0,1
2025-01-02,East China,Issuer A,Digital,Older phone,66,63,3,2816.22,0,1
2025-01-02,East China,Issuer A,Digital,Watch,58,54,4,2484.41,0,1
2025-01-02,East China,Issuer B,Retail,Recent phone,57,55,2,1049.25,0,1
2025-01-02,East China,Issuer B,Retail,Older phone,52,49,3,794.02,0,1
2025-01-02,East China,Issuer B,Retail,Watch,41,40,1,786.01,0,1
2025-01-02,East China,Issuer B,Dining,Recent phone,60,60,0,1571.53,0,1
2025-01-02,East China,Issuer B,Dining,Older phone,49,47,2,1227.85,0,1
2025-01-02,East China,Issuer B,Dining,Watch,45,43,2,1063.95,0,1
2025-01-02,East China,Issuer B,Transit,Recent phone,55,52,3,1619.09,0,1
2025-01-02,East China,Issuer B,Transit,Older phone,57,55,2,1661.9,0,1
2025-01-02,East China,Issuer B,Transit,Watch,46,44,2,1468.93,0,1
2025-01-02,East China,Issuer B,Grocery,Recent phone,70,68,2,2629.16,0,1
2025-01-02,East China,Issuer B,Grocery,Older phone,68,65,3,2439.19,0,1
2025-01-02,East China,Issuer B,Grocery,Watch,58,54,4,2050.55,0,1
2025-01-02,East China,Issuer B,Digital,Recent phone,72,70,2,3146.85,0,1
2025-01-02,East China,Issuer B,Digital,Older phone,61,59,2,2654.15,0,1
2025-01-02,East China,Issuer B,Digital,Watch,44,42,2,1974.44,0,1
2025-01-02,East China,Issuer C,Retail,Recent phone,50,50,0,959.64,0,1
2025-01-02,East China,Issuer C,Retail,Older phone,45,45,0,799.87,0,1
2025-01-02,East China,Issuer C,Retail,Watch,29,27,2,530.98,0,1
2025-01-02,East China,Issuer C,Dining,Recent phone,49,46,3,1072.1,0,1
2025-01-02,East China,Issuer C,Dining,Older phone,43,41,2,952.68,0,1
2025-01-02,East China,Issuer C,Dining,Watch,39,36,3,891.63,0,1
2025-01-02,East China,Issuer C,Transit,Recent phone,64,61,3,2069.48,0,1
2025-01-02,East China,Issuer C,Transit,Older phone,46,45,1,1371.09,0,1
2025-01-02,East China,Issuer C,Transit,Watch,50,46,4,1498.83,0,1
2025-01-02,East China,Issuer C,Grocery,Recent phone,70,67,3,2488.94,0,1
2025-01-02,East China,Issuer C,Grocery,Older phone,58,55,3,2237.15,0,1
2025-01-02,East China,Issuer C,Grocery,Watch,61,57,4,2295.17,0,1
2025-01-02,East China,Issuer C,Digital,Recent phone,64,63,1,2819.94,0,1
2025-01-02,East China,Issuer C,Digital,Older phone,65,60,5,2770.43,0,1
2025-01-02,East China,Issuer C,Digital,Watch,60,59,1,2812.43,0,1
2025-01-02,East China,Issuer D,Retail,Recent phone,45,45,0,861.82,0,1
2025-01-02,East China,Issuer D,Retail,Older phone,34,31,3,612.98,0,1
2025-01-02,East China,Issuer D,Retail,Watch,43,40,3,774.98,0,1
2025-01-02,East China,Issuer D,Dining,Recent phone,51,48,3,1157.34,0,1
2025-01-02,East China,Issuer D,Dining,Older phone,50,48,2,1106.22,0,1
2025-01-02,East China,Issuer D,Dining,Watch,38,37,1,889.44,0,1
2025-01-02,East China,Issuer D,Transit,Recent phone,60,60,0,1807.7,0,1
2025-01-02,East China,Issuer D,Transit,Older phone,64,60,4,1876.81,0,1
2025-01-02,East China,Issuer D,Transit,Watch,40,40,0,1295.2,0,1
2025-01-02,East China,Issuer D,Grocery,Recent phone,71,69,2,2572.14,0,1
2025-01-02,East China,Issuer D,Grocery,Older phone,55,55,0,2228.21,0,1
2025-01-02,East China,Issuer D,Grocery,Watch,49,47,2,1881.72,0,1
2025-01-02,East China,Issuer D,Digital,Recent phone,68,65,3,2965.16,0,1
2025-01-02,East China,Issuer D,Digital,Older phone,69,64,5,2854.03,0,1
2025-01-02,East China,Issuer D,Digital,Watch,60,56,4,2523.32,0,1
2025-01-02,North China,Issuer A,Retail,Recent phone,61,58,3,1121.81,0,1
2025-01-02,North China,Issuer A,Retail,Older phone,51,48,3,924.87,0,1
2025-01-02,North China,Issuer A,Retail,Watch,40,37,3,742.3,0,1
2025-01-02,North China,Issuer A,Dining,Recent phone,67,65,2,1756.03,0,1
2025-01-02,North China,Issuer A,Dining,Older phone,68,65,3,1675.7,0,1
2025-01-02,North China,Issuer A,Dining,Watch,47,45,2,1169.64,0,1
2025-01-02,North China,Issuer A,Transit,Recent phone,68,66,2,2262.79,0,1
2025-01-02,North China,Issuer A,Transit,Older phone,72,69,3,2244.02,0,1
2025-01-02,North China,Issuer A,Transit,Watch,52,49,3,1701.55,0,1
2025-01-02,North China,Issuer A,Grocery,Recent phone,65,63,2,2526.54,0,1
2025-01-02,North China,Issuer A,Grocery,Older phone,71,67,4,2804.4,0,1
2025-01-02,North China,Issuer A,Grocery,Watch,59,55,4,2225.88,0,1
2025-01-02,North China,Issuer A,Digital,Recent phone,73,71,2,3366.64,0,1
2025-01-02,North China,Issuer A,Digital,Older phone,78,75,3,3597.52,0,1
2025-01-02,North China,Issuer A,Digital,Watch,71,66,5,3278.73,0,1
2025-01-02,North China,Issuer B,Retail,Recent phone,53,52,1,967.07,0,1
2025-01-02,North China,Issuer B,Retail,Older phone,56,55,1,1147.62,0,1
2025-01-02,North China,Issuer B,Retail,Watch,49,46,3,1002.14,0,1
2025-01-02,North China,Issuer B,Dining,Recent phone,65,62,3,1765.68,0,1
2025-01-02,North China,Issuer B,Dining,Older phone,62,59,3,1512.83,0,1
2025-01-02,North China,Issuer B,Dining,Watch,48,46,2,1238.84,0,1
2025-01-02,North China,Issuer B,Transit,Recent phone,69,67,2,2394.73,0,1
2025-01-02,North China,Issuer B,Transit,Older phone,62,59,3,2093.81,0,1
2025-01-02,North China,Issuer B,Transit,Watch,57,53,4,1898.4,0,1
2025-01-02,North China,Issuer B,Grocery,Recent phone,79,77,2,3028.47,0,1
2025-01-02,North China,Issuer B,Grocery,Older phone,65,62,3,2513.6,0,1
2025-01-02,North China,Issuer B,Grocery,Watch,63,59,4,2508.59,0,1
2025-01-02,North China,Issuer B,Digital,Recent phone,73,72,1,3317.18,0,1
2025-01-02,North China,Issuer B,Digital,Older phone,66,63,3,2963.11,0,1
2025-01-02,North China,Issuer B,Digital,Watch,69,64,5,3041.53,0,1
2025-01-02,North China,Issuer C,Retail,Recent phone,57,54,3,1103.8,0,1
2025-01-02,North China,Issuer C,Retail,Older phone,47,44,3,958.83,0,1
2025-01-02,North China,Issuer C,Retail,Watch,38,37,1,670.2,0,1
2025-01-02,North China,Issuer C,Dining,Recent phone,63,60,3,1652.5,0,1
2025-01-02,North China,Issuer C,Dining,Older phone,51,47,4,1249.58,0,1
2025-01-02,North China,Issuer C,Dining,Watch,47,46,1,1257.07,0,1
2025-01-02,North China,Issuer C,Transit,Recent phone,68,65,3,2321.87,0,1
2025-01-02,North China,Issuer C,Transit,Older phone,60,56,4,1921.3,0,1
2025-01-02,North China,Issuer C,Transit,Watch,50,48,2,1714.36,0,1
2025-01-02,North China,Issuer C,Grocery,Recent phone,75,72,3,2986.98,0,1
2025-01-02,North China,Issuer C,Grocery,Older phone,68,67,1,2805.73,0,1
2025-01-02,North China,Issuer C,Grocery,Watch,60,56,4,2219.07,0,1
2025-01-02,North China,Issuer C,Digital,Recent phone,85,80,5,3788.06,0,1
2025-01-02,North China,Issuer C,Digital,Older phone,70,65,5,3235.28,0,1
2025-01-02,North China,Issuer C,Digital,Watch,69,67,2,3085.92,0,1
2025-01-02,North China,Issuer D,Retail,Recent phone,63,60,3,1088.17,0,1
