date,attempts,successful_transactions,failed_transactions,gmv_cny,success_rate
2025-04-16,18279,17449,830,634078.4200000002,0.95459
2025-04-17,18375,17530,845,633038.1700000004,0.95401
2025-04-18,18199,17356,843,626601.4600000003,0.95368
2025-04-19,20271,19349,922,703032.8500000001,0.95452
2025-04-20,20311,19357,954,702473.8499999999,0.95303
2025-04-21,18337,17519,818,640080.4699999997,0.95539
2025-04-22,18360,17511,849,636428.5899999996,0.95376
2025-04-23,18390,17542,848,636642.0099999999,0.95389
2025-04-24,18485,17652,833,641164.7099999995,0.95494
2025-04-25,18536,17641,895,637807.0200000003,0.95172
2025-04-26,20318,19403,915,704410.0400000003,0.95497
2025-04-27,20361,19429,932,703950.6100000002,0.95423
2025-04-28,18501,17639,862,641680.0799999998,0.95341
2025-04-29,18758,17900,858,647696.3,0.95426
2025-04-30,18576,17737,839,641445.3200000001,0.95483
2025-05-01,18708,17861,847,646953.8099999998,0.95473
2025-05-02,18674,17823,851,648858.21,0.95443
2025-05-03,20448,19515,933,710360.9800000002,0.95437
2025-05-04,20441,19509,932,707745.3800000001,0.95441
2025-05-05,18731,17893,838,651476.49,0.95526
2025-05-06,18700,17834,866,647317.0499999996,0.95369
2025-05-07,18950,18090,860,656212.5999999997,0.95462
2025-05-08,18888,17997,891,654836.7900000004,0.95283
2025-05-09,18766,17904,862,648652.1499999999,0.95407
2025-05-10,20841,19904,937,723962.37,0.95504
2025-05-11,20818,19868,950,720959.9099999996,0.95437
2025-05-12,18970,18100,870,654784.2299999999,0.95414
2025-05-13,18996,18109,887,659798.3999999999,0.95331
2025-05-14,18988,18113,875,654135.6300000002,0.95392
2025-05-15,18950,18074,876,657185.6,0.95377
2025-05-16,18975,18120,855,657249.1699999997,0.95494
2025-05-17,20762,19797,965,718777.8099999998,0.95352
2025-05-18,20999,20039,960,726948.6400000001,0.95428
2025-05-19,18929,18094,835,655122.4700000001,0.95589
2025-05-20,19084,18236,848,660050.3200000001,0.95556
2025-05-21,19175,18280,895,662377.2099999997,0.95332
2025-05-22,19169,18291,878,664865.0200000005,0.9542
2025-05-23,19092,18229,863,661282.2500000002,0.9548
2025-05-24,21098,20158,940,733907.7800000001,0.95545
2025-05-25,21185,20238,947,735797.2000000002,0.9553
2025-05-26,19177,18287,890,664068.56,0.95359
2025-05-27,19252,18349,903,666887.5099999998,0.9531
2025-05-28,19167,18304,863,665661.2000000004,0.95497
2025-05-29,19363,18485,878,671510.6299999997,0.95466
2025-05-30,19347,18420,927,667851.5800000005,0.95209
2025-05-31,21228,20270,958,736688.7000000001,0.95487
2025-06-01,21284,20288,996,737753.7800000001,0.9532
2025-06-02,19377,18479,898,671199.9499999997,0.95366
2025-06-03,19558,18662,896,677081.0400000003,0.95419
2025-06-04,19297,18393,904,666556.6800000002,0.95315
2025-06-05,19523,18604,919,674880.89,0.95293
2025-06-06,19429,18542,887,672504.3800000002,0.95435
2025-06-07,21515,20509,1006,746505.8299999995,0.95324
2025-06-08,21622,20647,975,750834.6200000001,0.95491
2025-06-09,19405,18519,886,673155.2800000001,0.95434
2025-06-10,19771,18848,923,684127.6000000001,0.95332
2025-06-11,19720,18800,920,684266.0200000003,0.95335
2025-06-12,19730,18835,895,683372.2400000001,0.95464
2025-06-13,19521,18634,887,676119.4899999999,0.95456
2025-06-14,21664,20685,979,752233.5500000004,0.95481
2025-06-15,21711,20729,982,751634.23,0.95477
2025-06-16,19545,18639,906,677761.2700000004,0.95365
2025-06-17,19689,18752,937,680148.3700000001,0.95241
2025-06-18,19683,18759,924,681184.0800000003,0.95306
2025-06-19,19937,19011,926,693251.2700000003,0.95355
2025-06-20,19616,18707,909,677125.4800000006,0.95366
2025-06-21,21811,20830,981,754945.2099999996,0.95502
2025-06-22,21916,20916,1000,757710.6900000004,0.95437
2025-06-23,19742,18853,889,686645.6200000001,0.95497
2025-06-24,19913,19024,889,687495.37,0.95536
2025-06-25,19920,19001,919,687708.7999999998,0.95387
2025-06-26,19957,19055,902,692375.1600000003,0.9548
2025-06-27,19942,19016,926,691790.6500000004,0.95357
2025-06-28,21936,20912,1024,759653.5700000002,0.95332
2025-06-29,22047,21039,1008,766528.6099999995,0.95428
2025-06-30,20095,19194,901,697573.0999999997,0.95516
2025-07-01,20009,19089,920,695293.6600000001,0.95402
2025-07-02,19951,19080,871,689545.08,0.95634
2025-07-03,20137,19221,916,698617.4999999999,0.95451
2025-07-04,20047,19140,907,693803.5700000003,0.95476
2025-07-05,22202,21204,998,769289.51,0.95505
2025-07-06,22118,21084,1034,762723.4999999997,0.95325
2025-07-07,20197,19281,916,699483.3200000003,0.95465
2025-07-08,20255,19328,927,703016.6699999999,0.95423
2025-07-09,20152,19239,913,700930.2900000004,0.95469
2025-07-10,20320,19396,924,703457.54,0.95453
2025-07-11,20190,19252,938,702164.1499999996,0.95354
2025-07-12,22289,21265,1024,771252.3399999997,0.95406
2025-07-13,22325,21289,1036,772543.0299999999,0.95359
2025-07-14,20203,19273,930,701762.4699999996,0.95397
2025-07-15,20482,19529,953,707952.8200000001,0.95347
2025-07-16,20471,19514,957,708277.6299999999,0.95325
2025-07-17,20433,19514,919,709019.7599999997,0.95502
2025-07-18,20392,19437,955,707332.0099999998,0.95317
2025-07-19,22440,21402,1038,777589.7400000001,0.95374
2025-07-20,22405,21375,1030,776242.1100000001,0.95403
2025-07-21,20384,19463,921,704544.7799999996,0.95482
2025-07-22,20642,19662,980,712327.61,0.95252
2025-07-23,20487,19555,932,709369.7600000002,0.95451
2025-07-24,20510,19563,947,708754.5200000004,0.95383
2025-07-25,20539,19577,962,709377.3799999998,0.95316
2025-07-26,22741,21704,1037,790713.5000000002,0.9544
2025-07-27,22518,21465,1053,777004.3600000001,0.95324
2025-07-28,20613,19684,929,717308.3899999994,0.95493
2025-07-29,20715,19772,943,717226.8299999996,0.95448
2025-07-30,20729,19778,951,717493.9499999997,0.95412
2025-07-31,20537,19581,956,709878.1600000001,0.95345
2025-08-01,20756,19806,950,720397.3299999998,0.95423
2025-08-02,22739,21716,1023,789318.1399999997,0.95501
2025-08-03,23023,21936,1087,797223.7000000002,0.95279
2025-08-04,20836,19875,961,720712.4500000001,0.95388
2025-08-05,20917,19968,949,724106.0699999996,0.95463
2025-08-06,20788,19823,965,720969.9300000003,0.95358
2025-08-07,20829,19866,963,719929.8500000006,0.95377
2025-08-08,20987,20008,979,728436.84,0.95335
2025-08-09,23066,21992,1074,800822.2199999995,0.95344
2025-08-10,23024,21935,1089,796511.6399999998,0.9527
2025-08-11,20955,19995,960,723911.0600000004,0.95419
2025-08-12,20919,19941,978,723998.8799999998,0.95325
2025-08-13,20918,19936,982,725226.9500000003,0.95305
2025-08-14,21055,20084,971,726792.1800000003,0.95388
2025-08-15,20975,20026,949,725952.7200000001,0.95476
2025-08-16,23138,22065,1073,802708.4400000001,0.95363
2025-08-17,23184,22117,1067,805224.5200000001,0.95398
2025-08-18,21158,20171,987,733700.9700000004,0.95335
2025-08-19,21116,20154,962,728797.8500000001,0.95444
2025-08-20,21190,20216,974,732547.1399999998,0.95403
2025-08-21,21208,20225,983,735879.7600000002,0.95365
2025-08-22,21120,20152,968,729026.9300000002,0.95417
2025-08-23,23310,22209,1101,808612.6299999998,0.95277
2025-08-24,23282,22200,1082,806462.23,0.95353
2025-08-25,21248,20277,971,736196.9700000007,0.9543
2025-08-26,21339,20362,977,738171.0499999998,0.95422
2025-08-27,21406,20433,973,741538.0100000001,0.95455
2025-08-28,21493,20523,970,747452.4400000003,0.95487
2025-08-29,21336,20369,967,741458.68,0.95468
2025-08-30,23476,22403,1073,813001.6499999996,0.95429
2025-08-31,23492,22442,1050,815068.1399999998,0.9553
2025-09-01,21385,20412,973,740651.31,0.9545
2025-09-02,21410,20416,994,741720.9899999996,0.95357
2025-09-03,21479,20488,991,745959.58,0.95386
2025-09-04,21416,20398,1018,741110.12,0.95247
2025-09-05,21536,20553,983,749283.0100000002,0.95436
2025-09-06,23744,22666,1078,824871.7100000003,0.9546
2025-09-07,23767,22662,1105,819740.5899999999,0.95351
2025-09-08,21449,20479,970,740954.2300000002,0.95478
2025-09-09,21505,20516,989,746445.1099999996,0.95401
2025-09-10,21551,20568,983,748215.5200000001,0.95439
2025-09-11,21650,20627,1023,749718.2199999997,0.95275
2025-09-12,21566,20572,994,744057.3800000001,0.95391
2025-09-13,23766,22668,1098,825044.7400000003,0.9538
2025-09-14,23854,22760,1094,825667.03,0.95414
2025-09-15,21621,20631,990,750322.8899999995,0.95421
2025-09-16,21790,20758,1032,754772.0700000003,0.95264
2025-09-17,21770,20781,989,755015.4999999999,0.95457
2025-09-18,21839,20816,1023,758139.2500000001,0.95316
2025-09-19,21887,20853,1034,756757.7599999998,0.95276
2025-09-20,24002,22881,1121,830163.9099999999,0.9533
2025-09-21,24190,23052,1138,838833.0399999998,0.95296
2025-09-22,21841,20826,1015,757437.43,0.95353
2025-09-23,21981,20941,1040,756902.1499999997,0.95269
2025-09-24,21892,20904,988,760108.9100000003,0.95487
2025-09-25,22045,21044,1001,762259.7099999997,0.95459
2025-09-26,21923,20932,991,759804.8300000003,0.9548
2025-09-27,24147,23021,1126,834397.68,0.95337
2025-09-28,24056,22969,1087,833436.2799999998,0.95481
2025-09-29,22166,21151,1015,766613.2,0.95421
2025-09-30,22066,21021,1045,764663.7400000003,0.95264
2025-10-01,21887,20848,1039,758282.8999999998,0.95253
2025-10-02,22250,21235,1015,774722.9099999996,0.95438
2025-10-03,22117,21106,1011,767421.6500000004,0.95429
2025-10-04,24403,23264,1139,843031.3599999999,0.95333
2025-10-05,24468,23307,1161,847764.5199999998,0.95255
2025-10-06,22180,21159,1021,772036.7399999999,0.95397
2025-10-07,22095,21071,1024,766776.3900000002,0.95365
2025-10-08,22316,21284,1032,774293.9499999997,0.95376
2025-10-09,22296,21297,999,772549.51,0.95519
2025-10-10,22442,21418,1024,776287.81,0.95437
2025-10-11,24682,23558,1124,854740.4899999994,0.95446
2025-10-12,24698,23570,1128,856030.8600000001,0.95433
2025-10-13,22486,21443,1043,780754.5800000005,0.95362
2025-10-14,22351,21322,1029,774552.1600000001,0.95396
2025-10-15,22464,21446,1018,781659.8399999995,0.95468
2025-10-16,22343,21320,1023,776685.0400000003,0.95421
2025-10-17,22564,21511,1053,780571.8100000004,0.95333
2025-10-18,24704,23571,1133,856129.8399999996,0.95414
2025-10-19,24685,23553,1132,854706.6799999997,0.95414
2025-10-20,22483,21445,1038,777154.6100000001,0.95383
2025-10-21,22521,21478,1043,783690.7600000004,0.95369
2025-10-22,22519,21500,1019,780588.7799999996,0.95475
2025-10-23,22617,21588,1029,784866.5500000005,0.9545
2025-10-24,22808,21758,1050,791467.7799999996,0.95396
2025-10-25,24707,23574,1133,853666.3999999999,0.95414
2025-10-26,24919,23767,1152,866816.8499999999,0.95377
2025-10-27,22904,21839,1065,793584.41,0.9535
2025-10-28,22710,21684,1026,788697.8299999997,0.95482
2025-10-29,22767,21696,1071,789508.1800000003,0.95296
2025-10-30,22740,21696,1044,789244.1900000004,0.95409
2025-10-31,22693,21663,1030,788162.4999999997,0.95461
2025-11-01,25206,24045,1161,873427.2199999999,0.95394
2025-11-02,25244,24084,1160,877023.9799999996,0.95405
2025-11-03,22805,21767,1038,791237.6100000001,0.95448
2025-11-04,22923,21848,1075,792259.5200000004,0.9531
2025-11-05,22887,21846,1041,796208.0200000003,0.95452
2025-11-06,22919,21870,1049,794536.0399999993,0.95423
2025-11-07,22974,21935,1039,794498.2000000002,0.95477
2025-11-08,25219,24078,1141,875063.7000000002,0.95476
2025-11-09,25421,24221,1200,882460.5299999999,0.95279
2025-11-10,23058,22014,1044,800314.8099999994,0.95472
2025-11-11,23025,21994,1031,796827.8000000005,0.95522
2025-11-12,23252,22198,1054,806242.63,0.95467
2025-11-13,23077,22022,1055,799558.1200000006,0.95428
2025-11-14,23108,22014,1094,802664.0000000002,0.95266
2025-11-15,25327,24151,1176,877216.9300000004,0.95357
2025-11-16,25504,24349,1155,885420.3000000004,0.95471
2025-11-17,23106,22043,1063,801271.9900000003,0.95399
2025-11-18,23179,22100,1079,800856.6700000005,0.95345
2025-11-19,23142,22063,1079,799538.2400000008,0.95337
2025-11-20,23285,22183,1102,807594.7699999994,0.95267
2025-11-21,23162,22111,1051,799243.18,0.95462
2025-11-22,25543,24385,1158,885679.64,0.95466
2025-11-23,25595,24422,1173,884843.8700000003,0.95417
2025-11-24,23280,22224,1056,809147.7999999995,0.95464
2025-11-25,23426,22355,1071,811144.8199999998,0.95428
2025-11-26,23355,22310,1045,812109.92,0.95526
2025-11-27,23365,22319,1046,810848.2600000005,0.95523
2025-11-28,23514,22446,1068,817175.6199999995,0.95458
2025-11-29,25690,24503,1187,889136.6299999999,0.9538
2025-11-30,25758,24526,1232,892805.2100000007,0.95217
2025-12-01,23543,22464,1079,818381.5400000004,0.95417
2025-12-02,23515,22436,1079,817944.0399999998,0.95411
2025-12-03,23357,22298,1059,809163.8400000002,0.95466
2025-12-04,23500,22395,1105,812406.3200000002,0.95298
2025-12-05,23605,22524,1081,818394.7199999996,0.9542
2025-12-06,25968,24764,1204,903549.4699999995,0.95364
2025-12-07,26008,24814,1194,903152.3999999993,0.95409
2025-12-08,23617,22505,1112,815599.9599999998,0.95292
2025-12-09,23669,22586,1083,817238.6099999996,0.95424
2025-12-10,23643,22565,1078,818301.7700000005,0.95441
2025-12-11,23871,22755,1116,826726.6799999999,0.95325
2025-12-12,23790,22688,1102,823837.0099999998,0.95368
2025-12-13,26090,24888,1202,904480.8700000002,0.95393
2025-12-14,26239,25062,1177,912263.6999999995,0.95514
2025-12-15,23838,22755,1083,825517.2300000003,0.95457
2025-12-16,23772,22678,1094,827047.0199999999,0.95398
2025-12-17,23906,22801,1105,828422.1999999997,0.95378
2025-12-18,23863,22772,1091,829437.18,0.95428
2025-12-19,23925,22801,1124,827849.6200000001,0.95302
2025-12-20,26343,25113,1230,911250.5600000003,0.95331
2025-12-21,26386,25150,1236,911619.2399999995,0.95316
2025-12-22,23956,22883,1073,834445.8200000002,0.95521
2025-12-23,24034,22944,1090,837777.8300000001,0.95465
2025-12-24,23876,22793,1083,828222.05,0.95464
2025-12-25,24172,23040,1132,840255.9500000001,0.95317
2025-12-26,24102,22973,1129,833499.7499999998,0.95316
2025-12-27,26439,25198,1241,912958.31,0.95306
2025-12-28,26433,25214,1219,916245.5199999998,0.95388
2025-12-29,24096,22964,1132,832849.9099999999,0.95302
2025-12-30,24191,23062,1129,837321.4699999999,0.95333
2025-12-31,24217,23117,1100,841299.6400000006,0.95458
